"","Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow"
"61","Batty et al. (2007)","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F. (2007). IQ in early adulthood and later cancer risk: cohort study of one million Swedish men. Annals of Oncology, 18(1), 21-28. https://doi.org/10.1093/annonc/mdl473","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F.","IQ in early adulthood and later cancer risk: cohort study of one million Swedish men","https://doi.org/10.1093/annonc/mdl473",2007,"Annals of Oncology","finn.rasmussen@ki.se",65,4.0625,"English","Journal article","Published","University of Edinburgh",NA,1346545,1346545,0,100,1336272,10273,18.25,37.75,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1952 to 1976","Sweden","Cohort study",NA,"Swedish conscription examination",NA,NA,NA,"Cancer","Swedish Cancer Register","Register data","Additional cancer outcomes were reported; for this meta-analysis, ""cancer"" was selected as a general category","HR",1.02,0.97,1.08,NA,0.980392156862745,-0.0198026272961798,-0.0769610411361284,0.0304592074847087,0.00075093124048329,0.0274031246481727,"Age, education",2,"Yes","Education",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,27,106,19.5,63,95,"Swedish conscripts","Education","Yes","Cancer",NA,"Batty et al. (2007)",-0.0769610411361284,0.0304592074847087,NA,NA
"62","Batty et al. (2007)","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F. (2007). IQ in early adulthood and later cancer risk: cohort study of one million Swedish men. Annals of Oncology, 18(1), 21-28. https://doi.org/10.1093/annonc/mdl473","Batty, G. D., Modig Wennerstad, K., Davey Smith, G., Gunnell, D., Deary, I. J., Tynelius, P., & Rasmussen, F.","IQ in early adulthood and later cancer risk: cohort study of one million Swedish men","https://doi.org/10.1093/annonc/mdl473",2007,"Annals of Oncology","finn.rasmussen@ki.se",65,4.0625,"English","Journal article","Published","University of Edinburgh",NA,1346545,1346545,0,100,1336272,10273,18.25,37.75,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1952 to 1976","Sweden","Cohort study",NA,"Swedish conscription examination",NA,NA,NA,"Cancer","Swedish Cancer Register","Register data","Additional cancer outcomes were reported; for this meta-analysis, ""cancer"" was selected as a general category","HR",1,0.95,1.06,NA,1,0,-0.0582689081239759,0.0512932943875505,0.000781176867657794,0.027949541457022,"Age, parental SES, education, body mass index, height, testing centre, birth year",7,"Yes","Multivariate",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,27,107,19.5,63,95,"Swedish conscripts","Multivariate","Yes","Cancer",NA,"Batty et al. (2007)",-0.0582689081239759,0.0512932943875505,NA,NA
"63","Christensen et al. (2018)","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M. (2018). Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men. Journal of Affective Disorders, 235, 162-167. https://doi.org/10.1016/j.jad.2018.04.035","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M","Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men","https://doi.org/10.1016/j.jad.2018.04.035",2018,"Journal of Affective Disorders","gunhild.tidemann.christensen@regionh.dk",10,2,"English","Journal article","Published","University of Copenhagen",NA,666804,666804,0,100,NA,NA,NA,59.8,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1939 to 1959","Denmark","Cohort study",NA,"Børge Prien Prøve","letter matrices, verbal analogies, number series, geometric figures",NA,NA,"Affective disorders","first hospital discharge or death with a main or contributory diagnosis of MD (ICD8: 296.0, 296.2, 298.0, 300.4 and ICD10: F32, F33); Danish Psychiatric Central Research Register, Danish National Patient Register","Register data","the relation between cognitive ability and number of depressive episodes; education was entered as a covariable","HR",1.21,1.18,1.13,NA,1.21,0.19062035960865,0.165514438477573,0.122217632724249,0.000121994311513503,0.0110451035085011,"Stratified by birth year and adjusted for educatuional level at time of conscription",1,"Yes","Education",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-01,2022-09-28,"Other","No",NA,11,109,NA,56,85.5,"Danish conscripts","Education","Yes","Affective disorders",NA,"Christensen et al. (2018)",0.165514438477573,0.122217632724249,NA,NA
"64","Deary et al. (2004)","Deary, Ian J.; Whiteman, Martha C.; Starr, John M.; Whalley, Lawrence J.; Fox, Helen C. (2004). The Impact of Childhood Intelligence on Later Life: Following Up the Scottish Mental Surveys of 1932 and 1947. Journal of Personality and Social Psychology, 86(1), 130–147. doi:10.1037/0022-3514.86.1.130","Deary, Ian J.; Whiteman, Martha C.; Starr, John M.; Whalley, Lawrence J.; Fox, Helen C.","The Impact of Childhood Intelligence on Later Life: Following Up the Scottish Mental Surveys of 1932 and 1947","https://doi.org/10.1037/0022-3514.86.1.130",2004,"Journal of Personality and Social Psychology","i.deary@ed.ac.uk",1017,53.5263157894737,"English","Journal article","Published","University of Edinburgh",NA,908,437,471,48.1277533039648,830,78,11,63,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1947","Scotland","Cohort study","6-Day Sample of Scottish Mental Survey of 1947","Moray House Test",NA,NA,NA,"Cancer","Any type of cancer diagnosis; National Health Service Scotland","Register data",NA,"HR",0.993,0.979,1.006,NA,1.00704934541793,0.00702461493696444,-0.00598207167754743,0.0212236364516266,4.81668155722754e-05,0.00694023166560565,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-02,2022-09-28,"Other","No",NA,35,122,52,57,90,"Scottish Mental Survey 1947","None","No","Cancer",NA,"Deary et al. (2004)",-0.00598207167754743,0.0212236364516266,NA,NA
"65","Deary et al. (2004)","Deary, Ian J.; Whiteman, Martha C.; Starr, John M.; Whalley, Lawrence J.; Fox, Helen C. (2004). The Impact of Childhood Intelligence on Later Life: Following Up the Scottish Mental Surveys of 1932 and 1947. Journal of Personality and Social Psychology, 86(1), 130–147. doi:10.1037/0022-3514.86.1.130","Deary, Ian J.; Whiteman, Martha C.; Starr, John M.; Whalley, Lawrence J.; Fox, Helen C.","The Impact of Childhood Intelligence on Later Life: Following Up the Scottish Mental Surveys of 1932 and 1947","https://doi.org/10.1037/0022-3514.86.1.130",2004,"Journal of Personality and Social Psychology","i.deary@ed.ac.uk",1017,53.5263157894737,"English","Journal article","Published","University of Edinburgh",NA,908,437,471,48.1277533039648,810,98,11,63,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1947","Scotland","Cohort study","6-Day Sample of Scottish Mental Survey of 1947","Moray House Test",NA,NA,NA,"Cardiovascular disease","National Health Service Scotland","Register data",NA,"HR",0.987,0.975,1,NA,1.01317122593718,0.0130852395486555,0,0.02531780798429,4.17138302484234e-05,0.00645862448578824,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-02,2022-09-28,"Other","No",NA,35,123,52,57,90,"Scottish Mental Survey 1947","None","No","Cardiovascular disease",NA,"Deary et al. (2004)",0,0.02531780798429,NA,NA
"66","Latvala et al. (2016)","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P. (2016). Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study. Addiction, 111(10), 1814-1822. https://doi.org/10.1111/add.13440","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P.","Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study","https://doi.org/10.1111/add.13440",2016,"Addiction","antti.latvala@helsinki.fi",24,3.42857142857143,"English","Journal article","Published","University of Helsinki",NA,1402333,1402333,0,100,NA,NA,18.2,53.8,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1958 to 1991","Sweden","Cohort study",NA,"Swedish Enlistment Battery","technical/mechanical skills with mathe- matical/physics problems; logic/general intelligence test; a verbal test detecting synonyms; and a test of visuo-spatial/ geometric perception",NA,"Cronbach's Alpha","Alcohol- and drug related disorders","""Substance misuse events were defined based on the medical and death regis- ter data as having an International Classification of Dis- eases (ICD)-8/9/10 code related to alcohol or drugs, including mental and behavioural disorders due to alcohol and drugs (ICD-10: F10-9), poisonings (e.g. ICD-10: X45, X61-2, X65), as well as various somatic illnesses caused by alcohol or drug use [e.g. alcoholic cardiomyopathy, alco- holic gastritis and alcoholic liver disease (ICD-10: I42.6, K29.2, K70)]"" (p. 1816); Swedish Patient Registe","Register data",NA,"HR",1.32,1.31,1.32,NA,1.32,0.27763173659828,0.27002713721306,0.27763173659828,3.76340143492806e-06,0.00193994882276004,"Age, conscription year",2,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,39,127,35.6,63,95,"Swedish conscripts","None","No","Alcohol- and drug related disorders",NA,"Latvala et al. (2016)",0.27002713721306,0.27763173659828,NA,NA
"67","Latvala et al. (2016)","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P. (2016). Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study. Addiction, 111(10), 1814-1822. https://doi.org/10.1111/add.13440","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P.","Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study","https://doi.org/10.1111/add.13440",2016,"Addiction","antti.latvala@helsinki.fi",24,3.42857142857143,"English","Journal article","Published","University of Helsinki",NA,1402333,1402333,0,100,NA,NA,18.2,53.8,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1958 to 1991","Sweden","Cohort study",NA,"Swedish Enlistment Battery","technical/mechanical skills with mathe- matical/physics problems; logic/general intelligence test; a verbal test detecting synonyms; and a test of visuo-spatial/ geometric perception",NA,"Cronbach's Alpha","Alcohol- and drug related disorders","""Substance misuse events were defined based on the medical and death regis- ter data as having an International Classification of Dis- eases (ICD)-8/9/10 code related to alcohol or drugs, including mental and behavioural disorders due to alcohol and drugs (ICD-10: F10-9), poisonings (e.g. ICD-10: X45, X61-2, X65), as well as various somatic illnesses caused by alcohol or drug use [e.g. alcoholic cardiomyopathy, alco- holic gastritis and alcoholic liver disease (ICD-10: I42.6, K29.2, K70)]"" (p. 1816); Swedish Patient Registe","Register data",NA,"HR",1.3,1.29,1.31,NA,1.3,0.262364264467491,0.254642218373581,0.27002713721306,1.54034599969654e-05,0.00392472419374476,"Age, conscription year, childhood SES, parental immigrant status",4,"Yes","Multivariate",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,39,128,35.6,63,95,"Swedish conscripts","Multivariate","Yes","Alcohol- and drug related disorders",NA,"Latvala et al. (2016)",0.254642218373581,0.27002713721306,NA,NA
"68","Latvala et al. (2016)","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P. (2016). Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study. Addiction, 111(10), 1814-1822. https://doi.org/10.1111/add.13440","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P.","Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study","https://doi.org/10.1111/add.13440",2016,"Addiction","antti.latvala@helsinki.fi",24,3.42857142857143,"English","Journal article","Published","University of Helsinki",NA,1402333,1402333,0,100,NA,NA,18.2,53.8,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1958 to 1991","Sweden","Cohort study",NA,"Swedish Enlistment Battery","technical/mechanical skills with mathe- matical/physics problems; logic/general intelligence test; a verbal test detecting synonyms; and a test of visuo-spatial/ geometric perception",NA,"Cronbach's Alpha","Alcohol- and drug related disorders","""Substance misuse events were defined based on the medical and death regis- ter data as having an International Classification of Dis- eases (ICD)-8/9/10 code related to alcohol or drugs, including mental and behavioural disorders due to alcohol and drugs (ICD-10: F10-9), poisonings (e.g. ICD-10: X45, X61-2, X65), as well as various somatic illnesses caused by alcohol or drug use [e.g. alcoholic cardiomyopathy, alco- holic gastritis and alcoholic liver disease (ICD-10: I42.6, K29.2, K70)]"" (p. 1816); Swedish Patient Registe","Register data",NA,"HR",1.46,1.45,1.48,NA,1.46,0.378436435720245,0.371563556432483,0.392042087776024,2.72913789819592e-05,0.00522411513865833,"Age, conscription year",2,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,39,129,35.6,63,95,"Swedish conscripts","None","No","Alcohol- and drug related disorders",NA,"Latvala et al. (2016)",0.371563556432483,0.392042087776024,NA,NA
"69","Latvala et al. (2016)","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P. (2016). Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study. Addiction, 111(10), 1814-1822. https://doi.org/10.1111/add.13440","Latvala, A., Kuja-Halkola, R., D'Onofrio, B. M., Larsson, H., & Lichtenstein, P.","Cognitive ability and risk for substance misuse in men: genetic and environmental correlations in a longitudinal nation-wide family study","https://doi.org/10.1111/add.13440",2016,"Addiction","antti.latvala@helsinki.fi",24,3.42857142857143,"English","Journal article","Published","University of Helsinki",NA,1402333,1402333,0,100,NA,NA,18.2,53.8,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1958 to 1991","Sweden","Cohort study",NA,"Swedish Enlistment Battery","technical/mechanical skills with mathe- matical/physics problems; logic/general intelligence test; a verbal test detecting synonyms; and a test of visuo-spatial/ geometric perception",NA,"Cronbach's Alpha","Alcohol- and drug related disorders","""Substance misuse events were defined based on the medical and death regis- ter data as having an International Classification of Dis- eases (ICD)-8/9/10 code related to alcohol or drugs, including mental and behavioural disorders due to alcohol and drugs (ICD-10: F10-9), poisonings (e.g. ICD-10: X45, X61-2, X65), as well as various somatic illnesses caused by alcohol or drug use [e.g. alcoholic cardiomyopathy, alco- holic gastritis and alcoholic liver disease (ICD-10: I42.6, K29.2, K70)]"" (p. 1816); Swedish Patient Registe","Register data",NA,"HR",1.44,1.43,1.46,NA,1.44,0.364643113587909,0.357674444271816,0.378436435720245,2.80521325036863e-05,0.0052964263899054,"Age, conscription year, childhood SES, parental immigrant status",4,"Yes","Multivariate",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,39,130,35.6,63,95,"Swedish conscripts","Multivariate","Yes","Alcohol- and drug related disorders",NA,"Latvala et al. (2016)",0.357674444271816,0.378436435720245,NA,NA
"70","Toulopoulou et al. (2017)","Toulopoulou, T., Picchioni, M., Mortensen, P. B., & Petersen, L. (2017). IQ, the Urban Environment, and Their Impact on Future Schizophrenia Risk in Men. Schizophrenia Bulletin, 43(5), 1056-1063. https://doi.org/10.1093/schbul/sbw147","Toulopoulou, T., Picchioni, M., Mortensen, P. B., & Petersen, L.","IQ, the Urban Environment, and Their Impact on Future Schizophrenia Risk in Men.","https://doi.org/10.1093/schbul/sbw147",2017,"Schizophrenia Bulletin","timothea.toulopoulou@kcl.ac.uk",33,5.5,"English","Journal article","Published","The University of Hong Kong",NA,153170,153170,0,100,152592,578,19.4,NA,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1955 to 1993","Denmark","Cohort study","Danish conscripts, North Jutland draft board examinees","Børge Priens Prøve",NA,NA,NA,"Schizophrenia","Danish Psychiatric Central Register","Register data","ICD-8 295.xx, 297.xx, 298.39, 301.83; ICD-10 F2x.xx","HR",0.68,0.63,0.73,NA,1.47058823529412,0.385662480811985,0.3147107448397,0.462035459596559,0.00141246951648985,0.0375828353971578,"Period, birth cohort",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression","paper reports IRRs from Cox regression which are identical to HRs (see the manual for the STATA package that was used by the authors: https://www.stata.com/manuals/ststcox.pdf).",2023-10-04,2022-09-28,"Other","No",NA,42,133,NA,56,92,"Danish conscripts","None","No","Schizophrenia",NA,"Toulopoulou et al. (2017)",0.3147107448397,0.462035459596559,NA,NA
"71","Toulopoulou et al. (2017)","Toulopoulou, T., Picchioni, M., Mortensen, P. B., & Petersen, L. (2017). IQ, the Urban Environment, and Their Impact on Future Schizophrenia Risk in Men. Schizophrenia Bulletin, 43(5), 1056-1063. https://doi.org/10.1093/schbul/sbw147","Toulopoulou, T., Picchioni, M., Mortensen, P. B., & Petersen, L.","IQ, the Urban Environment, and Their Impact on Future Schizophrenia Risk in Men.","https://doi.org/10.1093/schbul/sbw147",2017,"Schizophrenia Bulletin","timothea.toulopoulou@kcl.ac.uk",33,5.5,"English","Journal article","Published","The University of Hong Kong",NA,153170,153170,0,100,152592,578,19.4,NA,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1955 to 1993","Denmark","Cohort study","Danish conscripts, North Jutland draft board examinees","Børge Priens Prøve",NA,NA,NA,"Schizophrenia","Danish Psychiatric Central Register","Register data","ICD-8 295.xx, 297.xx, 298.39, 301.83; ICD-10 F2x.xx","HR",0.73,0.67,0.8,NA,1.36986301369863,0.3147107448397,0.22314355131421,0.400477566597125,0.00204650100064825,0.0452382692048254,"Period, birth cohort, urbanicity, parental age, parental education, parental occupation (social class), familial psychiatric history, second-generation migrant status",8,"Yes","Multivariate",NA,NA,NA,NA,"Per SD higher IQ","Regression","paper reports IRRs from Cox regression which are identical to HRs (see the manual for the STATA package that was used by the authors: https://www.stata.com/manuals/ststcox.pdf).",2023-10-04,2022-09-28,"Other","No",NA,42,134,NA,56,92,"Danish conscripts","Multivariate","Yes","Schizophrenia",NA,"Toulopoulou et al. (2017)",0.22314355131421,0.400477566597125,NA,NA
"72","Fardell et al. (2020)","Fardell, C., Torén, K., Schiöler, L., Nissbrandt, H., & Åberg, M. (2020). High IQ in Early Adulthood Is Associated with Parkinson’s Disease. Journal of Parkinson's Disease, 10, 1649-1656. https://doi.org/10.3233/JPD-202050","Fardell, C., Torén, K., Schiöler, L., Nissbrandt, H., & Åberg, M","High IQ in Early Adulthood Is Associated with Parkinson's Disease","https://doi.org/10.3233/JPD-202050",2020,"Journal of Parkinson's Disease","camilla.fardell@gu.se",12,4,"English","Journal article","Published","University of Gothenburg",NA,1189134,1189134,0,100,NA,NA,18.5,40,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1975","Sweden","Cohort study",NA,"Swedish Enlistment Battery","verbal, logical, visuospatial, technical capabilities, g",NA,NA,"Parkinson disease","Swedish National Patient Register","Register data",NA,"HR",1.05,1.03,1.08,1e-04,0.952380952380952,-0.0487901641694321,-0.0769610411361284,-0.0295588022415444,0.000146226328367035,0.0120924078812714,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression","High scores on IQ tests were associated with an increased risk of being diagnosed with PD later in life",2023-10-02,2022-09-28,"Other","No",NA,43,135,21.5,63,90.4,"Swedish conscripts","None","No","Parkinson disease",NA,"Fardell et al. (2020)",-0.0769610411361284,-0.0295588022415444,NA,NA
"73","Osler et al. (2007)","Osler, M., Lawlor, D. A., & Nordentoft, M. (2007). Cognitive function in childhood and early adulthood and hospital admission for schizophrenia and bipolar disorders in Danish men born in 1953. Schizophrenia Research, 92(1), 132-141. https://doi.org/10.1016/j.schres.2007.01.009","Osler, M., Lawlor, D. A., & Nordentoft, M.","Cognitive function in childhood and early adulthood and hospital admission for schizophrenia and bipolar disorders in Danish men born in 1953.","https://doi.org/10.1016/j.schres.2007.01.009",2007,"Schizophrenia Research","mosler@health.sdu.dk",74,4.625,"English","Journal article","Published","University of Southern Denmark",NA,6923,6923,0,100,NA,NA,12,49,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnquist test","spatial, arithmetic, verbal subtests",NA,NA,"Schizophrenia","Danish Psychiatric Register","Register data",NA,"HR",0.87,0.72,1.06,NA,1.14942528735632,0.139262067333508,-0.0582689081239759,0.328504066972036,0.00973509307740397,0.0986665752795949,"age",1,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,46,146,37,56,92,"Danish Metropolit Project","None","No","Schizophrenia",NA,"Osler et al. (2007)",-0.0582689081239759,0.328504066972036,NA,NA
"74","Osler et al. (2007)","Osler, M., Lawlor, D. A., & Nordentoft, M. (2007). Cognitive function in childhood and early adulthood and hospital admission for schizophrenia and bipolar disorders in Danish men born in 1953. Schizophrenia Research, 92(1), 132-141. https://doi.org/10.1016/j.schres.2007.01.009","Osler, M., Lawlor, D. A., & Nordentoft, M.","Cognitive function in childhood and early adulthood and hospital admission for schizophrenia and bipolar disorders in Danish men born in 1953.","https://doi.org/10.1016/j.schres.2007.01.009",2007,"Schizophrenia Research","mosler@health.sdu.dk",74,4.625,"English","Journal article","Published","University of Southern Denmark",NA,6923,6923,0,100,NA,NA,12,49,NA,1953,NA,NA,NA,NA,NA,"Danish Metropolit Project","Denmark","Cohort study",NA,"Härnquist test","spatial, arithmetic, verbal subtests",NA,NA,"Bipolar disorder","Danish Psychiatric Register","Register data",NA,"HR",0.71,0.46,1.09,NA,1.40845070422535,0.342490308946776,-0.0861776962410524,0.776528789498996,0.0484344075735335,0.220078185137768,"age",1,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,46,147,37,56,92,"Danish Metropolit Project","None","No","Bipolar disorder",NA,"Osler et al. (2007)",-0.0861776962410524,0.776528789498996,NA,NA
"75","Rantalainen et al. (2018)","Rantalainen, V., Lahti, J., Henriksson, M., Kajantie, E., Eriksson, J. G., & Räikkönen, K. (2018). Cognitive ability in young adulthood predicts risk of early-onset dementia in Finnish men. Neurology, 91(2), e171-e179.","Rantalainen, Ville; Lahti, Jari; Henriksson, Markus; Kajantie, Eero; Eriksson, Johan G.; Raikkonen, Katri","Cognitive ability in young adulthood predicts risk of early-onset dementia in Finnish men","https://doi.org/10.1212/WNL.0000000000005757",2018,"Neurology","ville.rantalainen@helsinki.fi",10,2,"English","Journal article","Published","University of Helsinki",NA,2785,2785,0,100,NA,NA,20.1,64,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Intellectual Ability Test","verbal, arithmetic, visuospatial, total score",NA,NA,"Dementia and MCI","Finnish Hospital Discharge and Causes of Death Registers","Register data",NA,"HR",1.23,0.97,1.55,0.132,1.23,0.207014169384326,-0.0304592074847086,0.438254930931155,0.0142969689420375,0.119569933269353,"age",1,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,47,148,43.9,64,87.7,"Helsinki Birth Cohort 1934 to 1944","None","No","Dementia and MCI",NA,"Rantalainen et al. (2018)",-0.0304592074847086,0.438254930931155,NA,NA
"76","Rantalainen et al. (2018)","Rantalainen, V., Lahti, J., Henriksson, M., Kajantie, E., Eriksson, J. G., & Räikkönen, K. (2018). Cognitive ability in young adulthood predicts risk of early-onset dementia in Finnish men. Neurology, 91(2), e171-e179.","Rantalainen, Ville; Lahti, Jari; Henriksson, Markus; Kajantie, Eero; Eriksson, Johan G.; Raikkonen, Katri","Cognitive ability in young adulthood predicts risk of early-onset dementia in Finnish men","https://doi.org/10.1212/WNL.0000000000005757",2018,"Neurology","ville.rantalainen@helsinki.fi",10,2,"English","Journal article","Published","University of Helsinki",NA,2785,2785,0,100,NA,NA,20.1,64,NA,NA,NA,NA,NA,NA,NA,"Helsinki Birth Cohort 1934 to 1944","Finland","Cohort study",NA,"Finnish Defence Forces Basic Intellectual Ability Test","verbal, arithmetic, visuospatial, total score",NA,NA,"Dementia and MCI","Finnish Hospital Discharge and Causes of Death Registers","Register data",NA,"HR",1.15,0.87,1.51,0.328,1.15,0.139761942375159,-0.139262067333508,0.412109650826833,0.0197841245566357,0.140656050551107,"age",2,"Yes","Education",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,47,149,43.9,64,87.7,"Helsinki Birth Cohort 1934 to 1944","Education","Yes","Dementia and MCI",NA,"Rantalainen et al. (2018)",-0.139262067333508,0.412109650826833,NA,NA
"77","Sjölund et al. (2015)","Sjölund, S., Hemmingsson, T., Gustafsson, J. E., & Allebeck, P. (2015). IQ and alcohol-related morbidity and mortality among Swedish men and women: the importance of socioeconomic position. J Epidemiol Community Health, 69(9), 858-864. https://doi.org/10.1136/jech-2014-204761","Sjölund, S.; Hemmingsson, T.; Gustafsson, J. E.; Allebeck, P.","IQ and alcohol-related morbidity and mortality among Swedish men and women: the importance of socioeconomic position","https://doi.org/10.1136/jech-2014-204761",2015,"Journal of Epidemiology and Community Health","sara.sjolund@ki.se",20,2.5,"English","Journal article","Published","Karolinska Institute",NA,18958,NA,NA,NA,NA,NA,13,55.5,NA,NA,NA,NA,NA,NA,NA,"Swedish “Evaluation Through Follow-up” database","Sweden","Cohort study",NA,"The Metropolit","verbal, spatial, inductive reasoning",NA,NA,"Alcohol- and drug related disorders","Based on ICD, national patient register","Register data",NA,"HR",1.5129,1.44695948626204,1.58184554006613,NA,1.5129,0.414028338768652,0.369464448820649,0.458592228716656,0.000516956551254108,0.0227366785448998,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression","ES converted from nonstandardized HR on Stanine Scale by multiplying the logHR by two and shifting the CI accordingly",2023-10-04,2022-09-28,"Other","No",NA,48,150,42.5,63,95,"Swedish “Evaluation Through Follow-up” database","None","No","Alcohol- and drug related disorders",NA,"Sjölund et al. (2015)",0.369464448820649,0.458592228716656,NA,NA
