"Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Include.in.sample.size.calculation","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow","Country"
"Reichenberg et al. (2005)","Reichenberg, A., Weiser, M., Rapp, M. A., Rabinowitz, J., Caspi, A., Schmeidler, J., Knobler, H. Y., Lubin, G., Nahon, D., Harvey, P. D., & Davidson, M. (2005). Elaboration on Premorbid Intellectual Performance in Schizophrenia: Premorbid Intellectual Decline and Risk for Schizophrenia. Archives of General Psychiatry, 62(12), 1297-1304. https://doi.org/10.1001/archpsyc.62.12.1297","Reichenberg, A., Weiser, M., Rapp, M. A., Rabinowitz, J., Caspi, A., Schmeidler, J., Knobler, H. Y., Lubin, G., Nahon, D., Harvey, P. D., & Davidson, M.","Elaboration on Premorbid Intellectual Performance in Schizophrenia: Premorbid Intellectual Decline and Risk for Schizophrenia","https://doi.org/10.1001/archpsyc.62.12.1297",2005,"Archives of General Psychiatry","avi.reichenberg@mssm.edu",221,12.2777777777778,"English","Journal article","Published","Mount Sinai School of Medicine",NA,556758,317352,239406,56.999989223325,554732,2026,17,33.5,NA,NA,NA,NA,NA,NA,NA,"Israeli conscripts","Israel","Cohort study",NA,"Israeli military draft board assessment","reading comprehension test, reading and vocabulary test, spelling ability test",NA,NA,"Schizophrenia","Israeli National Psychiatric Hospitalization Case Registry; \"last-discharge diagnosis of schizophrenia\"","Register data","The correlation between the draft board scale and the Wechsler IQ scale was 0.79.","OR",2.43211606843952,2.32827568770579,2.54058769826797,NA,2.43211606843952,0.888761688474767,0.845127945411826,0.932395431537707,0.000495601711183544,0.0222621138076227,NA,0,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Mean difference","OR was calculated from z-score difference which was reported",2023-10-04,2022-09-28,"Other","No",NA,40,129,16.5,31,85,"Yes","Israeli conscripts","None","No","Schizophrenia",NA,"Reichenberg et al. (2005)",0.845127945411826,0.932395431537707,NA,NA,"Israel"
"Jokela et al. (2011)","Jokela, M., Batty, G. D., Deary, I. J., Silventoinen, K., & Kivimäki, M. (2011). Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood. Annals of Epidemiology, 21(7), 489-496. https://doi.org/10.1016/j.annepidem.2011.01.008","Jokela, Markus; Batty, G. David; Deary, Ian J.; Silventoinen, Karri; Kivimaki, Mika","Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood","https://doi.org/10.1016/j.annepidem.2011.01.008",2011,"Annals of Epidemiology","markus.jokela@helsinki.fi",16,1.33333333333333,"English","Journal article","Published","University of Helsinki",NA,8628,NA,NA,46,NA,NA,18.5,64.8,3.8,NA,NA,NA,NA,NA,NA,"Wisconsin Longitudinal Study","USA","Cohort study","Male percentage was estimated from descriptive data","Henmon-Nelson Test of Mental Ability (1954 revision)","vocabulary, sentence completion, disarranged sentences, classification, logical selection, series completion, directions, analogies, anagrams, proverb interpretation, and arithmetic problems",NA,NA,"Heart diseases","participants reported whether a medical professional had ever told them that they had the disease in question (yes/no)","Self-report data","2003-2005 data were selected because the longer follow-up was more informative","OR",0.93,0.87,0.99,NA,1.0752688172043,0.0725706928348354,0.0100503358535015,0.139262067333508,0.00108650507289028,0.0329621763979608,"sex and age",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No.",NA,43,133,46.3,40,89,"Yes","Wisconsin Longitudinal Study","None","No","Heart diseases",NA,"Jokela et al. (2011)",0.0100503358535015,0.139262067333508,NA,NA,"USA"
"Jokela et al. (2011)","Jokela, M., Batty, G. D., Deary, I. J., Silventoinen, K., & Kivimäki, M. (2011). Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood. Annals of Epidemiology, 21(7), 489-496. https://doi.org/10.1016/j.annepidem.2011.01.008","Jokela, Markus; Batty, G. David; Deary, Ian J.; Silventoinen, Karri; Kivimaki, Mika","Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood","https://doi.org/10.1016/j.annepidem.2011.01.008",2011,"Annals of Epidemiology","markus.jokela@helsinki.fi",16,1.33333333333333,"English","Journal article","Published","University of Helsinki",NA,8623,NA,NA,46,NA,NA,18.5,64.8,3.8,NA,NA,NA,NA,NA,NA,"Wisconsin Longitudinal Study","USA","Cohort study",NA,"Henmon-Nelson Test of Mental Ability (1954 revision)","vocabulary, sentence completion, disarranged sentences, classification, logical selection, series completion, directions, analogies, anagrams, proverb interpretation, and arithmetic problems",NA,NA,"Stroke","participants reported whether a medical professional had ever told them that they had the disease in question (yes/no)","Self-report data","2003-2005 data were selected because the longer follow-up was more informative","OR",0.8,0.7,0.91,NA,1.25,0.22314355131421,0.0943106794712412,0.356674943938732,0.00447957929440647,0.0669296593029314,"sex and age",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other",NA,NA,43,134,46.3,40,89,"No","Wisconsin Longitudinal Study","None","No","Stroke",NA,"Jokela et al. (2011)",0.0943106794712412,0.356674943938732,NA,NA,"USA"
"Jokela et al. (2011)","Jokela, M., Batty, G. D., Deary, I. J., Silventoinen, K., & Kivimäki, M. (2011). Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood. Annals of Epidemiology, 21(7), 489-496. https://doi.org/10.1016/j.annepidem.2011.01.008","Jokela, Markus; Batty, G. David; Deary, Ian J.; Silventoinen, Karri; Kivimaki, Mika","Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood","https://doi.org/10.1016/j.annepidem.2011.01.008",2011,"Annals of Epidemiology","markus.jokela@helsinki.fi",16,1.33333333333333,"English","Journal article","Published","University of Helsinki",NA,8192,NA,NA,46,NA,NA,18.5,64.8,3.8,NA,NA,NA,NA,NA,NA,"Wisconsin Longitudinal Study","USA","Cohort study",NA,"Henmon-Nelson Test of Mental Ability (1954 revision)","vocabulary, sentence completion, disarranged sentences, classification, logical selection, series completion, directions, analogies, anagrams, proverb interpretation, and arithmetic problems",NA,NA,"Diabetes and metabolic syndrome","participants reported whether a medical professional had ever told them that they had the disease in question (yes/no)","Self-report data","2003-2005 data were selected because the longer follow-up was more informative","OR",0.88,0.81,0.95,NA,1.13636363636364,0.127833371509885,0.0512932943875505,0.210721031315653,0.00165407664137443,0.0406703410530872,"sex and age",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other",NA,NA,43,135,46.3,40,89,"No","Wisconsin Longitudinal Study","None","No","Diabetes and metabolic syndrome",NA,"Jokela et al. (2011)",0.0512932943875505,0.210721031315653,NA,NA,"USA"
"Jokela et al. (2011)","Jokela, M., Batty, G. D., Deary, I. J., Silventoinen, K., & Kivimäki, M. (2011). Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood. Annals of Epidemiology, 21(7), 489-496. https://doi.org/10.1016/j.annepidem.2011.01.008","Jokela, Markus; Batty, G. David; Deary, Ian J.; Silventoinen, Karri; Kivimaki, Mika","Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood","https://doi.org/10.1016/j.annepidem.2011.01.008",2011,"Annals of Epidemiology","markus.jokela@helsinki.fi",16,1.33333333333333,"English","Journal article","Published","University of Helsinki",NA,8626,NA,NA,46,NA,NA,18.5,64.8,3.8,NA,NA,NA,NA,NA,NA,"Wisconsin Longitudinal Study","USA","Cohort study",NA,"Henmon-Nelson Test of Mental Ability (1954 revision)","vocabulary, sentence completion, disarranged sentences, classification, logical selection, series completion, directions, analogies, anagrams, proverb interpretation, and arithmetic problems",NA,NA,"Cancer","participants reported whether a medical professional had ever told them that they had the disease in question (yes/no)","Self-report data","2003-2005 data were selected because the longer follow-up was more informative","OR",1.07,0.99,1.15,NA,0.934579439252336,-0.0676586484738148,-0.139761942375159,0.0100503358535015,0.00146057103212603,0.0382174179154745,"sex and age",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other",NA,NA,43,136,46.3,40,89,"No","Wisconsin Longitudinal Study","None","No","Cancer",NA,"Jokela et al. (2011)",-0.139761942375159,0.0100503358535015,NA,NA,"USA"
"Jokela et al. (2011)","Jokela, M., Batty, G. D., Deary, I. J., Silventoinen, K., & Kivimäki, M. (2011). Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood. Annals of Epidemiology, 21(7), 489-496. https://doi.org/10.1016/j.annepidem.2011.01.008","Jokela, Markus; Batty, G. David; Deary, Ian J.; Silventoinen, Karri; Kivimaki, Mika","Sibling Analysis of Adolescent Intelligence and Chronic Diseases in Older Adulthood","https://doi.org/10.1016/j.annepidem.2011.01.008",2011,"Annals of Epidemiology","markus.jokela@helsinki.fi",16,1.33333333333333,"English","Journal article","Published","University of Helsinki",NA,8223,NA,NA,46,NA,NA,18.5,64.8,3.8,NA,NA,NA,NA,NA,NA,"Wisconsin Longitudinal Study","USA","Cohort study",NA,"Henmon-Nelson Test of Mental Ability (1954 revision)","vocabulary, sentence completion, disarranged sentences, classification, logical selection, series completion, directions, analogies, anagrams, proverb interpretation, and arithmetic problems",NA,NA,"Respiratory disease","participants reported whether a medical professional had ever told them that they had the disease in question (yes/no)","Self-report data","2003-2005 data were selected because the longer follow-up was more informative","OR",0.89,0.81,0.98,NA,1.12359550561798,0.116533816255952,0.0202027073175195,0.210721031315653,0.00236211681194409,0.0486016132648299,"sex and age",2,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other",NA,NA,43,137,46.3,40,89,"No","Wisconsin Longitudinal Study","None","No","Respiratory disease",NA,"Jokela et al. (2011)",0.0202027073175195,0.210721031315653,NA,NA,"USA"
"Koenen et al. (2009)","Koenen, K. C., Moffitt, T. E., Roberts, A. L., Martin, L. T., Kubzansky, L., Harrington, H., Poulton, R., & Caspi, A. (2009). Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis. American Journal of Psychiatry, 166(1), 50-57. https://doi.org/10.1176/appi.ajp.2008.08030343","Koenen, Karestan C.; Moffitt, Terrie E.; Roberts, Andrea L.; Martin, Laurie T.; Kubzansky, Laura; Harrington, Honalee; Poulton, Richie; Caspi, Avshalom","Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis","https://doi.org/10.1176/appi.ajp.2008.08030343",2009,"American Journal of Psychiatry","kkoenen@hsph.harvard.edu",617,44.0714285714286,"English","Journal article","Published","Havard University",NA,1037,539,498,52,NA,NA,9,32,NA,NA,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study",NA,"WISC-R",NA,NA,NA,"Affective disorders","assessed with Diagnostic Interview Schedule (DIS), based on DSM","Physical or psychiatric examination","The IQs determined at the three ages were averaged and standardized.","OR",0.77,0.63,0.94,NA,1.2987012987013,0.261364764134408,0.0618754037180874,0.462035459596559,0.0104206626354033,0.102081646907773,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,44,138,23,42,92,"Yes","Dunedin Multidisciplinary Health and Development Study","None","No","Affective disorders",NA,"Koenen et al. (2009)",0.0618754037180874,0.462035459596559,NA,NA,"New Zealand"
"Koenen et al. (2009)","Koenen, K. C., Moffitt, T. E., Roberts, A. L., Martin, L. T., Kubzansky, L., Harrington, H., Poulton, R., & Caspi, A. (2009). Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis. American Journal of Psychiatry, 166(1), 50-57. https://doi.org/10.1176/appi.ajp.2008.08030343","Koenen, Karestan C.; Moffitt, Terrie E.; Roberts, Andrea L.; Martin, Laurie T.; Kubzansky, Laura; Harrington, Honalee; Poulton, Richie; Caspi, Avshalom","Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis","https://doi.org/10.1176/appi.ajp.2008.08030343",2009,"American Journal of Psychiatry","kkoenen@hsph.harvard.edu",617,44.0714285714286,"English","Journal article","Published","Havard University",NA,1037,539,498,52,NA,NA,9,32,NA,NA,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study",NA,"WISC-R",NA,NA,NA,"Anxiety and stress-related disorders","assessed with Diagnostic Interview Schedule (DIS), based on DSM","Physical or psychiatric examination","The IQs determined at the three ages were averaged and standardized.","OR",0.74,0.62,0.88,NA,1.35135135135135,0.301105092783922,0.127833371509885,0.478035800943,0.00798116289962879,0.0893373544472232,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,44,139,23,42,92,"No","Dunedin Multidisciplinary Health and Development Study","None","No","Anxiety and stress-related disorders",NA,"Koenen et al. (2009)",0.127833371509885,0.478035800943,NA,NA,"New Zealand"
"Koenen et al. (2009)","Koenen, K. C., Moffitt, T. E., Roberts, A. L., Martin, L. T., Kubzansky, L., Harrington, H., Poulton, R., & Caspi, A. (2009). Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis. American Journal of Psychiatry, 166(1), 50-57. https://doi.org/10.1176/appi.ajp.2008.08030343","Koenen, Karestan C.; Moffitt, Terrie E.; Roberts, Andrea L.; Martin, Laurie T.; Kubzansky, Laura; Harrington, Honalee; Poulton, Richie; Caspi, Avshalom","Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis","https://doi.org/10.1176/appi.ajp.2008.08030343",2009,"American Journal of Psychiatry","kkoenen@hsph.harvard.edu",617,44.0714285714286,"English","Journal article","Published","Havard University",NA,1037,539,498,52,NA,NA,9,32,NA,NA,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study",NA,"WISC-R",NA,NA,NA,"Obsessive-compulsive disorder","assessed with Diagnostic Interview Schedule (DIS), based on DSM","Physical or psychiatric examination","The IQs determined at the three ages were averaged and standardized.","OR",0.94,0.55,1.59,NA,1.06382978723404,0.0618754037180874,-0.46373401623214,0.59783700075562,0.073337478141167,0.270808932905041,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,44,140,23,42,92,"No","Dunedin Multidisciplinary Health and Development Study","None","No","Obsessive-compulsive disorder",NA,"Koenen et al. (2009)",-0.46373401623214,0.59783700075562,NA,NA,"New Zealand"
"Koenen et al. (2009)","Koenen, K. C., Moffitt, T. E., Roberts, A. L., Martin, L. T., Kubzansky, L., Harrington, H., Poulton, R., & Caspi, A. (2009). Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis. American Journal of Psychiatry, 166(1), 50-57. https://doi.org/10.1176/appi.ajp.2008.08030343","Koenen, Karestan C.; Moffitt, Terrie E.; Roberts, Andrea L.; Martin, Laurie T.; Kubzansky, Laura; Harrington, Honalee; Poulton, Richie; Caspi, Avshalom","Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis","https://doi.org/10.1176/appi.ajp.2008.08030343",2009,"American Journal of Psychiatry","kkoenen@hsph.harvard.edu",617,44.0714285714286,"English","Journal article","Published","Havard University",NA,1037,539,498,52,NA,NA,9,32,NA,NA,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study",NA,"WISC-R",NA,NA,NA,"Alcohol- and drug related disorders","assessed with Diagnostic Interview Schedule (DIS), based on DSM","Physical or psychiatric examination","The IQs determined at the three ages were averaged and standardized.","OR",0.78,0.6,1.02,NA,1.28205128205128,0.2484613592985,-0.0198026272961798,0.510825623765991,0.0183235071861528,0.135364349760758,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,44,141,23,42,92,"No","Dunedin Multidisciplinary Health and Development Study","None","No","Alcohol- and drug related disorders",NA,"Koenen et al. (2009)",-0.0198026272961798,0.510825623765991,NA,NA,"New Zealand"
"Koenen et al. (2009)","Koenen, K. C., Moffitt, T. E., Roberts, A. L., Martin, L. T., Kubzansky, L., Harrington, H., Poulton, R., & Caspi, A. (2009). Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis. American Journal of Psychiatry, 166(1), 50-57. https://doi.org/10.1176/appi.ajp.2008.08030343","Koenen, Karestan C.; Moffitt, Terrie E.; Roberts, Andrea L.; Martin, Laurie T.; Kubzansky, Laura; Harrington, Honalee; Poulton, Richie; Caspi, Avshalom","Childhood IQ and Adult Mental Disorders: A Test of the Cognitive Reserve Hypothesis","https://doi.org/10.1176/appi.ajp.2008.08030343",2009,"American Journal of Psychiatry","kkoenen@hsph.harvard.edu",617,44.0714285714286,"English","Journal article","Published","Havard University",NA,1037,539,498,52,NA,NA,9,32,NA,NA,NA,NA,NA,NA,NA,"Dunedin Multidisciplinary Health and Development Study","New Zealand","Cohort study",NA,"WISC-R",NA,NA,NA,"Alcohol- and drug related disorders","assessed with Diagnostic Interview Schedule (DIS), based on DSM","Physical or psychiatric examination","The IQs determined at the three ages were averaged and standardized.","OR",0.87,0.64,1.19,NA,1.14942528735632,0.139262067333508,-0.173953307123438,0.44628710262842,0.0250350222491379,0.158224594324453,NA,0,"No","None",NA,NA,NA,NA,"Per SD higher IQ","Regression",NA,2023-10-03,2022-09-28,"Other","No",NA,44,142,23,42,92,"No","Dunedin Multidisciplinary Health and Development Study","None","No","Alcohol- and drug related disorders",NA,"Koenen et al. (2009)",-0.173953307123438,0.44628710262842,NA,NA,"New Zealand"
"Wraw et al. (2016)","Wraw, C., Deary, I. J., Der, G., & Gale, C. R. (2016). Intelligence in youth and mental health at age 50. Intelligence, 58, 69-79.","Wraw, Christina; Deary, Ian J.; Der, Geoff; Gale, Catharine R.","Intelligence in youth and mental health at age 50","https://doi.org/10.1016/j.intell.2016.06.005",2016,"Intelligence","s1457166@sms.ed.ac.uk",51,7.28571428571428,"English","Journal article","Published","University of Edinburgh",NA,5793,2779,3014,48,NA,NA,19,50,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualification Test (AFQT)","rithmetic reasoning, mathematics knowledge, word knowledge, paragraph comprehension",NA,NA,"Affective disorders","\"self-report of ever having had a diagnosis of depression. This was elicited by the question, “Has a doctor ever told you that you have depression” and it could receive a Yes/No response.\" (p. 71)","Self-report data",NA,"OR",1.11,1.01,1.22,NA,1.11,0.104360015324243,0.00995033085316809,0.198850858745165,0.00232217106400166,0.0481889101765299,"sex, age",2,"No","None",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-04,2022-09-28,"Other","No",NA,49,150,31,40,89,"No","NLSY 1979","None","No","Affective disorders",NA,"Wraw et al. (2016)",0.00995033085316809,0.198850858745165,NA,NA,"USA"
"Wraw et al. (2016)","Wraw, C., Deary, I. J., Der, G., & Gale, C. R. (2016). Intelligence in youth and mental health at age 50. Intelligence, 58, 69-79.","Wraw, Christina; Deary, Ian J.; Der, Geoff; Gale, Catharine R.","Intelligence in youth and mental health at age 50","https://doi.org/10.1016/j.intell.2016.06.005",2016,"Intelligence","s1457166@sms.ed.ac.uk",51,7.28571428571428,"English","Journal article","Published","University of Edinburgh",NA,5793,2779,3014,48,NA,NA,19,50,NA,NA,NA,NA,NA,NA,NA,"NLSY 1979","USA","Cohort study",NA,"Armed Forces Qualification Test (AFQT)","rithmetic reasoning, mathematics knowledge, word knowledge, paragraph comprehension",NA,NA,"Affective disorders","\"self-report of ever having had a diagnosis of depression. This was elicited by the question, “Has a doctor ever told you that you have depression” and it could receive a Yes/No response.\" (p. 71)","Self-report data",NA,"OR",1.32,1.16,1.51,NA,1.32,0.27763173659828,0.148420005118273,0.412109650826833,0.00452495244519899,0.0672677667623877,"sex, age childhood, age adult, childhood SES, adult SES",5,"Yes","Multivariate",NA,NA,NA,NA,"Per SD lower IQ","Regression",NA,2023-10-04,2022-09-28,"Other","No",NA,49,151,31,40,89,"No","NLSY 1979","Multivariate","Yes","Affective disorders",NA,"Wraw et al. (2016)",0.148420005118273,0.412109650826833,NA,NA,"USA"
